ISO-3 code,Number of commercial banks,Branches of commercial banks,Number of Automated Teller Machines (ATMs),Outstanding deposits with commercial banks,Outstanding loans from commercial banks,"Number of commercial bank branches per 1,000 km2","Number of commercial bank branches per 100,000 adults","Number of ATMs per 1,000 km2","Number of ATMs per 100,000 adults",Outstanding deposits with commercial banks (% of GDP),Outstanding loans from commercial banks (% of GDP)
SRB,29,1621,2685,2078917,2004240,18.86577,28.12994,30.69975,45.77509,43.72646,42.15576
SYC,9,30,59,13150,6970,84.78261,52.32862,128.2609,79.16382,64.0982,33.97448
SLE,0,0,0,0,0,0,0,0,0,0,0
SGP,127,278,3109,606386.9,651931.6,571.2271,8.487998,4385.049,65.15849,129.7624,139.5087
SVK,22,1217,2794,42085.76,46736.56,25.76955,26.91554,58.11148,60.69573,49.59968,55.08083
SVN,15,503,1646,23389,19095,25.71741,29.4786,81.71979,93.67138,54.39346,44.40733
SLB,4,12,45,3136.86,2203.093,0.5716327,4.279414,1.607717,12.03585,30.51165,21.42907
ZAF,36,4164,27361,2053761,2854078,3.462233,10.37578,22.5548,67.59324,44.14996,61.35447
SSD,27,65,32,33774.27,2984.027,0.1427842,1.445659,0.0496641,0.5028379,0,0
ESP,144,23134,44434,904945,1031215,46.59663,58.56121,88.94556,111.784,77.58984,88.41621
LKA,0,0,0,0,0,0,0,0,0,0,0
K0,6,8,39,2561.586,1146.557,53.84615,31.74747,150,88.43939,95.63795,42.80721
LCA,5,18,63,2909.298,2874.137,37.70492,15.66928,103.2787,42.92021,59.52677,58.80734
VCT,4,8,30,1313.759,1051.139,30.76923,14.3376,76.92308,35.84401,61.96682,49.57967
SDN,32,769,1301,124473,81005,0.4303018,3.316444,0.6989047,5.386634,15.13506,9.84965
SUR,10,38,211,17416.45,7972.013,0.3076923,11.43709,1.352564,50.27556,75.7962,34.69411
SWZ,4,41,258,15039,10416,2.616279,6.369382,15,36.51779,25.43913,17.61912
SWE,70,1272,2655,2591673,2394870,3.294788,16.1802,6.518377,32.01076,56.60117,52.30306
CHE,253,2685,7046,1193374,1138894,74.34963,40.83588,178.3075,97.93383,178.496,170.3473
SYR,0,0,0,0,0,0,0,0,0,0,0
TJK,0,0,0,0,0,0,0,0,0,0,0
TZA,0,0,0,0,0,0,0,0,0,0,0
THA,30,6754,66944,1.13E+07,1.10E+07,13.27879,11.85529,131.0341,116.9871,73.4449,71.23591
TLS,5,34,92,990,227,2.62273,5.562449,6.186954,13.12168,39.80268,9.126474
TGO,13,238,179,1517721,1140425,4.614819,5.581092,3.291046,3.980141,54.70871,41.10846
TON,4,18,28,571.445,429.361,30.55556,33.61293,38.88889,42.7801,60.09517,45.15312
TTO,8,125,468,85555.74,65962.72,25.92593,12.11172,91.22807,42.61868,56.71691,43.72824
TUN,23,1860,2602,62738.95,73214.06,12.12024,21.67275,16.7482,29.94822,64.90677,75.74383
TUR,33,10503,47338,1605838,1869476,13.6897,17.31155,61.50748,77.78041,51.69223,60.17878
UGA,24,554,910,1.60E+07,1.22E+07,2.882505,2.685459,4.538201,4.227971,17.46037,13.24876
UKR,84,88,37003,847390.8,1004200,0.2969152,0.454,63.87647,97.67072,28.39894,33.65413
ARE,61,853,5302,1627277,1580301,12.86961,11.18878,74.65503,64.90474,115.8199,112.4764
GBR,313,0,69610,2737237,2563937,0,0,287.7279,128.056,133.5479,125.0927
